FirstName;LastName;Gendre;Nationality;MaritalStatus;DateOfBirth
George;Washington;Male;Français;Célibataire;1967-12-23
John;Adams;Male;Français;Célibataire;1967-12-30
Thomas;Jefferson;Male;Français;Célibataire;1968-01-06
James;Madison;Male;Français;Célibataire;1968-01-13
James;Monroe;Male;Français;Célibataire;1968-01-20
John Quincy;Adams;Male;Français;Célibataire;1968-01-27
Andrew;Jackson;Male;Français;Célibataire;1968-02-03
Martin;Van Buren;Male;Français;Célibataire;1968-02-10
William H.;Harrison;Male;Français;Célibataire;1968-02-17
John;Tyler;Male;Français;Célibataire;1968-02-24
James K.;Polk;Male;Français;Célibataire;1968-03-02
Zachary;Taylor;Male;Français;Célibataire;1968-03-09
Millard;Fillmore;Male;Français;Célibataire;1968-03-16
Franklin;Pierce;Male;Français;Célibataire;1968-03-23
James;Buchanan;Male;Français;Célibataire;1968-03-30
Abraham;Lincoln;Male;Français;Célibataire;1968-04-06
Andrew;Johnson;Male;Français;Célibataire;1968-04-13
Ulysses S.;Grant;Male;Français;Célibataire;1968-04-20
Rutherford B.;Hayes;Male;Français;Célibataire;1968-04-27
James A.;Garfield;Male;Français;Célibataire;1968-05-04
Chester A.;Arthur;Male;Français;Célibataire;1968-05-11
Grover;Cleveland;Male;Français;Célibataire;1968-05-18
Benjamin;Harrison;Male;Français;Célibataire;1968-05-25
Grover;Cleveland;Male;Français;Célibataire;1968-06-01
William;McKinley;Male;Français;Célibataire;1968-06-08
Theodore;Roosevelt;Male;Français;Célibataire;1968-06-15
William H.;Taft;Male;Français;Célibataire;1968-06-22
Woodrow;Wilson;Male;Français;Célibataire;1968-06-29
Warren G.;Harding;Male;Français;Célibataire;1968-07-06
Calvin;Coolidge;Male;Français;Célibataire;1968-07-13
Herbert;Hoover;Male;Français;Célibataire;1968-07-20
Franklin D.;Roosevelt;Male;Français;Célibataire;1968-07-21
Harry;Truman;Male;Français;Célibataire;1968-07-22
Dwight D.;Eisenhower;Male;Français;Célibataire;1968-07-23
John F.;Kennedy;Male;Français;Célibataire;1968-07-24
Lyndon B.;Johnson;Male;Français;Célibataire;1968-07-25
Richard M.;Nixon;Male;Français;Célibataire;1968-07-26
Gerald R.;Ford;Male;Français;Célibataire;1968-07-27
James E.;Carter;Male;Français;Célibataire;1968-07-28
Ronald;Reagan;Male;Français;Célibataire;1968-07-29
George;Bush;Male;Français;Célibataire;1968-07-30
William Jefferson;Clinton;Male;Français;Célibataire;1968-07-31
George;Bush;Male;Français;Célibataire;1968-08-01
